Date,S&P500_Close,S&P500_Volume,AAL_Close,AAL_Volume,ALGT_Close,ALGT_Volume,ALK_Close,ALK_Volume,DAL_Close,DAL_Volume,HA_Close,HA_Volume,LUV_Close,LUV_Volume,BCS_Close,BCS_Volume,CS_Close,CS_Volume,DB_Close,DB_Volume,GS_Close,GS_Volume,MS_Close,MS_Volume,WFC_Close,WFC_Volume,BHC_Close,BHC_Volume,JNJ_Close,JNJ_Volume,MRK_Close,MRK_Volume,PFE_Close,PFE_Volume,RHHBY_Close,RHHBY_Volume,UNH_Close,UNH_Volume,AAPL_Close,AAPL_Volume,AMZN_Close,AMZN_Volume,GOOG_Close,GOOG_Volume,IBM_Close,IBM_Volume,MSFT_Close,MSFT_Volume,FB_Close,FB_Volume
01-10-2015,1923.819946,3983600000,39.200001,9175100,217.979996,124000,80.230003,1230100,45.41,8096500,24.73,844900,38.41,6147600,15.01,2497700,24.09,1152900,26.52,3254600,176.020004,3613000,31.5,13358700,51.439999,15556600,179.600006,6384100,93.169998,9675900,49.369999,14408600,31.84,29950600,33.220001,1287600,116.610001,3768300,27.395,255716400,520.719971,3768500,611.289978,1867600,143.589996,3880900,44.610001,28657900,90.949997,29283700
02-10-2015,1951.359985,4378570000,38.630001,12276300,215.589996,107700,79.260002,1207900,44.869999,10918900,24.280001,729500,38.380001,7016100,15.39,2775900,24.639999,2076900,27.139999,2982700,177.009995,4469900,31.43,22822500,51.259998,21630300,182.320007,7697300,93.93,8368100,50.139999,24287900,33.080002,41704700,33.32,1513000,118.830002,3521600,27.594999,232079200,532.539978,4597800,626.909973,2684800,144.580002,3054400,45.57,41839000,92.07,37881700
05-10-2015,1987.050049,4334490000,40.189999,9421800,216.059998,182100,80.910004,1408800,46.959999,8629300,25.5,1220600,39.299999,5962500,15.6,3286900,25.16,1011600,28.200001,2500100,180.699997,3411900,32.290001,11635700,52.41,15240700,163.460007,11648200,94.760002,9419200,51.23,15881600,33.48,31996500,33.439999,1035300,119.650002,3491200,27.695,208258800,543.679993,3391400,641.469971,1803600,149.039993,5131800,46.630001,34369300,94.010002,27292500
06-10-2015,1979.920044,4202400000,38.130001,12985800,208.600006,238200,74.529999,2874800,45.09,9081000,24.25,972100,38,8334400,15.55,2398400,25.379999,710600,28.4,1431900,180.320007,1859100,32.360001,8875100,52.029999,14490700,166,7376100,93.419998,8365200,49.799999,16493500,32.790001,36590300,33.529999,814700,116.050003,4652000,27.827499,192787200,537.47998,4502800,645.440002,2166300,148.779999,3018100,46.75,27017200,92.800003,22172800
07-10-2015,1995.829956,4666470000,39.310001,10513700,213.839996,172800,75.970001,2894600,45.990002,11737900,24.559999,799900,38.709999,7279800,15.73,2624400,25.32,1200300,28.790001,2082800,182.229996,2572200,32.93,13458400,52.189999,13863500,169.830002,4181600,94.980003,9397300,50.950001,14508200,33.290001,28750100,32.549999,2131300,116.43,4282000,27.695,187062400,541.940002,3812100,642.359985,2092700,150.089996,2980800,46.799999,27711500,92.400002,24129300
08-10-2015,2013.430054,3939140000,39.740002,8308100,212.660004,95800,75.760002,1413900,45.959999,8905400,26.09,1128200,38.759998,7034300,15.81,1749400,24.530001,4205800,28.389999,4439900,181.070007,3253400,32.990002,11407600,52.540001,15384100,171.169998,3644600,95.080002,7090700,51.02,12542000,33.09,30068200,33.25,823700,116.080002,3646500,27.375,247918400,533.159973,4676400,639.159973,2182100,152.279999,4794400,47.450001,33772700,92.470001,27290500
09-10-2015,2014.890015,3706900000,42.419998,16835500,217.679993,96500,75.919998,2185000,47.209999,10715300,27.290001,1533800,39.939999,11332200,15.71,1585000,24.77,3497800,29.34,3753700,179.190002,3334900,32.720001,11711000,52.139999,16983100,175.940002,4358000,95.370003,8259700,50.950001,10921400,33.240002,20406500,32.860001,806400,119.269997,4485100,28.030001,211064400,539.799988,3537400,643.609985,1648700,152.389999,3531100,47.110001,28600600,93.239998,20012900
12-10-2015,2017.459961,2893250000,43.84,11443300,227.860001,172800,77.989998,1651900,48.5,10647300,28.129999,1536000,41.220001,7448100,15.73,1090100,25.08,1314000,29.139999,1195100,180.229996,3059800,32.799999,7034500,52.18,10639000,173.850006,3255800,95.989998,8957900,50.709999,11653300,33.220001,14841000,33,653700,122.510002,5840000,27.9,121868800,550.190002,2776100,646.669983,1275200,151.139999,3227600,47,19769100,94.260002,18449600
13-10-2015,2003.689941,3401920000,43.41,13250300,218.929993,136800,73.919998,2437100,47.73,13839900,28.290001,1328800,40.82,7619800,15.16,2681500,24.780001,1903900,28.780001,1171100,180.970001,2918800,32.610001,10943700,51.860001,16002200,166.5,3880600,95.449997,12761900,49.470001,14905900,32.98,19446100,33.18,755500,123.989998,6655700,27.9475,132197200,548.900024,2938000,652.299988,1807700,149.619995,3915700,46.889999,19987800,94.120003,19480300
14-10-2015,1994.23999,3644590000,43.799999,11125800,214.830002,105300,73.449997,1813200,48.59,15052900,27.809999,912900,40.84,5741000,15.11,4218500,24.809999,1525000,28.9,1985600,179.509995,3252000,32.540001,9877500,51.5,26269100,177.289993,8142300,94.529999,8881900,49.540001,13731200,33.040001,17729000,33.02,874500,122.07,5592200,27.5525,177849600,544.830017,3582100,651.159973,1415500,150.009995,3353000,46.68,24697800,94.07,19253400
15-10-2015,2023.859985,3746290000,44.459999,8185400,216.520004,140100,75.980003,2057000,48.93,8423700,29.25,1812500,41.240002,5678500,15.47,2525500,25.26,1208500,29.290001,1153800,184.960007,5720100,33.610001,12920500,52.689999,18262400,168.869995,10683900,97.150002,9561900,50.720001,14037500,34.080002,26383100,33.560001,716800,120.169998,8012400,27.965,150694000,562.440002,4937000,661.73999,1885700,150.089996,3476200,47.009998,27189400,95.959999,27557500
16-10-2015,2033.109985,3595430000,43.709999,11572900,214.75,171800,75.830002,1657700,49.119999,14240400,29.610001,1369900,40.560001,8188800,15.59,2191500,25.780001,1074000,29.58,1348700,185.179993,2977500,33.950001,13804700,52.880001,15676300,177.559998,6033700,98.239998,9495300,51.48,11092500,34.41,19202000,34.18,1606800,119.980003,4416500,27.76,156930400,570.76001,4315800,662.200012,1611100,150.389999,3483700,47.509998,26450300,97.540001,25412900
19-10-2015,2033.660034,3287320000,44.450001,8934600,219.949997,107300,76.870003,1401400,50.27,11037800,31,2647400,41.41,5506400,15.74,3191400,25.76,807000,30.299999,4088400,185.740005,2665700,32.32,39255600,52.560001,15515700,163.830002,9997900,97.940002,8725400,51.400002,8441900,34.5,15780800,33.950001,633000,120.730003,3707500,27.932501,119036800,573.150024,4375400,666.099976,1477300,149.220001,7954700,47.619999,29387600,98.470001,23729900
20-10-2015,2030.77002,3331500000,44.790001,7610800,217.660004,115100,76.489998,1269600,50.150002,8745500,31.370001,2527800,41.380001,5711800,15.6,2318900,25.959999,1769100,30.120001,1344600,185.509995,2736200,32.25,23590400,53.080002,13583300,146.740005,16210100,97.589996,6041800,50.389999,9944900,34,17491600,33.5,462200,120.419998,3278400,28.442499,195871200,560.880005,4346200,650.280029,2498200,140.639999,16025600,47.77,30802200,97,30881800
21-10-2015,2018.939941,3627790000,44.310001,6935700,215.970001,143500,74.730003,1715400,49.439999,7607300,32.869999,1849200,41.040001,5125100,15.22,2203900,24.98,4805700,29.799999,1321400,179.699997,3613800,31.48,22175900,53.119999,17666700,118.610001,88254200,97.629997,7059800,50.59,11269900,33.459999,33081200,33.029999,991000,118.110001,5305600,28.440001,167180800,555.77002,3343600,642.609985,1791100,140.919998,6990600,47.200001,25144300,97.110001,21917800
22-10-2015,2052.51001,4430850000,45.990002,14444600,201.009995,512500,75.970001,1474000,50.810001,9528500,33.400002,2212500,44.080002,15268600,15.5,1578900,24.370001,3501500,30.309999,1537900,183.559998,2609600,32.349998,18753800,54.060001,18263200,109.870003,57766100,99.529999,9887900,52.009998,18449600,33.330002,41366000,33.509998,967200,113.809998,10475000,28.875,166616400,563.909973,7779400,651.789978,4071000,144.089996,5583200,48.029999,56637100,99.669998,26392100
23-10-2015,2075.149902,4108460000,45.669998,20281400,203.070007,159000,79.089996,1687400,51,11458600,34.84,1842500,45.23,12390500,15.51,2609100,24.85,2231400,30.75,1488400,185.5,2935700,32.619999,14730700,54.75,16924800,116.160004,24749300,100.309998,9178900,52.880001,15703500,34.049999,27534600,33.950001,949700,115.919998,5497500,29.77,237467600,599.030029,10692700,702,6653900,144.679993,5370400,52.869999,135227100,102.190002,42809700
26-10-2015,2071.179932,3385800000,46.470001,11026200,201.639999,191200,79.160004,1373100,51.32,5579300,35.59,1786500,45.77,6306800,15.44,1982500,25.110001,1884900,30.35,1465900,187.009995,2573700,32.549999,10952300,54.290001,12661400,110.040001,27810100,99.940002,7561600,52.91,10975200,34.16,23291100,33.57,433300,116.529999,3377100,28.82,265335200,608.609985,4269700,712.780029,2716600,143.660004,3489400,54.25,64633300,103.769997,25961200
27-10-2015,2065.889893,4216880000,46.459999,6824100,204.279999,175400,77.949997,1364400,50.869999,7910200,35.110001,1686800,45.470001,7400800,15.36,3000500,24.889999,3694600,30.200001,1517000,186.309998,1932300,32.23,13302400,54.119999,12443900,109.540001,10871800,100.190002,8883200,53.470001,13956900,34.990002,40077800,33.43,982200,119.370003,4008400,28.637501,279537600,611.01001,3787100,708.48999,2245800,137.860001,15008500,53.689999,50999900,103.699997,23795500
28-10-2015,2090.350098,4698110000,45.860001,7629700,199.949997,144400,75.190002,2020300,50.139999,7435100,34.98,1804100,45.41,5990400,15.56,2637000,25.440001,3001300,30.309999,3154100,191.320007,3231900,33.439999,17285600,55.450001,16681600,117,10701600,100.480003,7256300,55.099998,14710000,35.450001,34862900,33.889999,1061200,119.779999,4405500,29.817499,342205600,617.099976,3926200,712.950012,2178900,140.830002,8511400,53.98,47000800,104.199997,24081500
29-10-2015,2089.409912,4008940000,45.860001,5234400,197.770004,180300,75.769997,923700,50.5,5632800,34.759998,1060300,45.82,4233600,14.47,5976800,25.030001,3188200,27.889999,4625800,189.889999,3068100,33.540001,12759600,55.09,11334900,111.5,18818900,101.370003,6340700,54.869999,8907300,34.77,72026800,33.959999,621600,119.709999,3257500,30.1325,204909200,626.549988,3896000,716.919983,1456000,140.550003,3710400,53.360001,30202100,104.879997,20316700
